"","Month","Province_State","Doses_admin_yf","People_at_least_one_dose_yf","People_fully_vaccinated_yf","Total_additional_doses_yf","Doses_admin_yf_daily","People_at_least_one_dose_yf_daily","People_fully_vaccinated_yf_daily","Total_additional_doses_yf_daily"
"1",2020-12-01,"Alabama",159886,0,0,0,26711,0,0,0
"2",2021-01-01,"Alabama",4106511,0,0,0,315725,0,0,0
"3",2021-02-01,"Alabama",17049104,8350443,0,0,588654,643208,0,0
"4",2021-03-01,"Alabama",40790733,26992506,13596309,0,766551,491531,643450,0
"5",2021-04-01,"Alabama",65085866,42216389,26454795,0,862297,444354,477898,0
"6",2021-05-01,"Alabama",88072248,52294434,40786586,0,461516,186962,311098,0
"7",2021-06-01,"Alabama",94968973,55372290,45217788,0,328450,187355,161594,0
"8",2021-07-01,"Alabama",106987371,62467640,50905249,0,236906,163141,89327,0
"9",2021-08-01,"Alabama",118300497,70561432,54278690,0,526132,316328,184977,0
"10",2021-09-01,"Alabama",130096274,75564373,59579231,0,401297,145984,214838,0
"11",2021-10-01,"Alabama",145191201,81367305,66518117,1787092,352368,93177,110892,211878
"12",2021-11-01,"Alabama",151540197,81538781,66848212,9540984,362414,95449,68390,200731
"13",2021-12-01,"Alabama",169026858,87612613,71383342,16630571,395213,101275,72880,219565
"14",2022-01-01,"Alabama",179734431,90916279,73705694,22317570,332113,130219,88549,166443
"15",2022-02-01,"Alabama",168873974,84531268,68465408,23066166,141169,35529,38963,44967
"16",2022-03-01,"Alabama",190112135,94389016,76713182,26560228,61725,18378,20201,23017
"17",2022-04-01,"Alabama",186622250,91927501,74842430,26406211,115449,21094,21583,24502
"18",2022-05-01,"Alabama",195891073,95526038,77879787,27907914,87233,14839,14893,18134
"19",2022-06-01,"Alabama",191839744,92852896,75769880,27526609,49932,13939,9597,24785
"20",2022-07-01,"Alabama",199696496,96392005,78576245,29183541,76895,16328,13181,17922
"21",2022-08-01,"Alabama",202334068,96948760,79046519,29785791,61211,13718,12642,14111
"22",2022-09-01,"Alabama",197316016,94157233,76805853,29144445,62170,11215,10182,10904
