"","Month","Province_State","Doses_admin_yf","People_at_least_one_dose_yf","People_fully_vaccinated_yf","Total_additional_doses_yf","Doses_admin_yf_daily","People_at_least_one_dose_yf_daily","People_fully_vaccinated_yf_daily","Total_additional_doses_yf_daily"
"1",2020-12-01,"United States",3164852,0,0,0,3164852,0,0,0
"2",2021-01-01,"United States",29577902,0,0,0,26413050,0,0,0
"3",2021-02-01,"United States",72806180,48435536,0,0,43228278,48435536,0,0
"4",2021-03-01,"United States",147602345,96044046,53423486,0,74796165,47608510,53423486,0
"5",2021-04-01,"United States",237360493,143793565,99668945,0,89758148,47749519,46245459,0
"6",2021-05-01,"United States",294928850,167733972,135087319,0,57568357,23940407,35418374,0
"7",2021-06-01,"United States",325152847,179940202,154199664,0,30223997,12206230,19112345,0
"8",2021-07-01,"United States",344928514,190509183,164184080,0,19775667,10568981,9984416,0
"9",2021-08-01,"United States",369556911,204742648,173832202,954683,24628397,14233465,9648122,954683
"10",2021-09-01,"United States",391992662,214043376,184335263,3677268,22435751,9300728,10503061,2722585
"11",2021-10-01,"United States",420657683,221221467,192244927,17723033,28665021,7178091,7909664,14045765
"12",2021-11-01,"United States",459234791,232792508,196806194,40247890,38577108,11571041,4561267,22524857
"13",2021-12-01,"United States",507657980,243527564,205811394,68810709,48423189,10735056,9005200,28562819
"14",2022-01-01,"United States",538829920,250331618,211695131,87760753,31171940,6804054,5883737,18950044
"15",2022-02-01,"United States",552869516,253491557,215547917,94153229,14039596,3159938,3852786,6392476
"16",2022-03-01,"United States",560419082,255428475,217556439,97495673,7549566,1936918,2008522,3342444
"17",2022-04-01,"United States",575257890,257565087,219610128,100509996,14838808,2136612,2053689,3014323
"18",2022-05-01,"United States",587242048,258567659,221277550,103394099,11984158,1002572,1667422,2884103
"19",2022-06-01,"United States",596233489,259957415,222271398,106275891,8991441,1389756,993848,2881792
"20",2022-07-01,"United States",603693871,261622844,223140564,107707286,7460382,1665429,869166,1431395
"21",2022-08-01,"United States",608937334,262643277,223914723,108540822,5243463,1020432,774158,833535
"22",2022-09-01,"United States",619765972,264112767,225284115,109970532,10828638,1469490,1369392,1429710
"23",2022-10-01,"United States",636871557,266031472,226933827,111848839,17105585,1918705,1649712,1878307
